Restaurant_Filter
1981 RAMEN BAR
AS GOOD AS IT GETS CAFE
BAMBOO
BAMBU
BAVARIA GERMAN RESTAUR
BEDFORD HOUSE OF ROAST
BIG APPLE MARKET
BUFFALO WILD WINGS
CAFE LANDWER
Cafe Landwer
CAFFE NERO
CHICK-FIL-A
Chungs Kitchen
DAIRY QUEEN
DOMINO'S
DUNKIN
DUNKIN' MOBILE
EATALY
EVVIVA
FARMHOUSE CAFE
FIVE GUYS
GODLY SMOOTHIES
GONGCHA
IHOP
IL FORNO RESTAURANT
JERSEY MIKES
JOYFUL GARDEN
KIMBALL FARM
KURA REVOLVING SUSHI
LA SANTA TACO
LITTLE CAESARS
LITTLE Q HOT POT
LITTLETON SUB
MAKI OF JAPAN
MCDONALD'S
MENCHIES
MOES
MUFFINS ON MAIN
NASHOBA PIZZA
NOBO
OCHO CAFE TACOS
OKI POKE
PANDA EXPRESS
PANERA	
PANERA BREAD
Paul s Diner
PAUL'S DINER
Pavement Coffeehouse
PAVEMENT COFFEEHOUSE
PHO DA LAT
PHO88
PITA RESTAURANT
RED ARROW
SAIGON SANDWICH HOUSE
SARKU JAPAN
SHU DA XIA HOT POT
SICHUAN PALACE
SORRENTO'S PIZZERIAS
STIR MARTINI BAR
TAKA
TASTY DUMPLINGS
TAVERN IN THE SQUARE
TEXAS ROADHOUSE
UNION COFFEE ROASTER	
VIC'S WAFFLE HOUSE
YANAGI SUSHI
